COUNTRY,NAME_1,NAME_2,NAME_3,combined,RASTER_ID1
Rwanda,City of Kigali,Gasabo,Bumbogo,RwandaCity of KigaliGasaboBumbogo,387
Rwanda,City of Kigali,Gasabo,Gatsata,RwandaCity of KigaliGasaboGatsata,388
Rwanda,City of Kigali,Gasabo,Gisozi,RwandaCity of KigaliGasaboGisozi,390
Rwanda,City of Kigali,Gasabo,Jabana,RwandaCity of KigaliGasaboJabana,391
Rwanda,City of Kigali,Gasabo,Jali,RwandaCity of KigaliGasaboJali,392
Rwanda,City of Kigali,Gasabo,Kacyiru,RwandaCity of KigaliGasaboKacyiru,393
Rwanda,City of Kigali,Gasabo,Kimihurura,RwandaCity of KigaliGasaboKimihurura,394
Rwanda,City of Kigali,Gasabo,Kimironko,RwandaCity of KigaliGasaboKimironko,395
Rwanda,City of Kigali,Gasabo,Kinyinya,RwandaCity of KigaliGasaboKinyinya,396
Rwanda,City of Kigali,Gasabo,Ndera,RwandaCity of KigaliGasaboNdera,397
Rwanda,City of Kigali,Gasabo,Nduba,RwandaCity of KigaliGasaboNduba,398
Rwanda,City of Kigali,Gasabo,Remera,RwandaCity of KigaliGasaboRemera,399
Rwanda,City of Kigali,Gasabo,Rusororo,RwandaCity of KigaliGasaboRusororo,400
Rwanda,City of Kigali,Kicukiro,Gahanga,RwandaCity of KigaliKicukiroGahanga,402
Rwanda,City of Kigali,Kicukiro,Gatenga,RwandaCity of KigaliKicukiroGatenga,403
Rwanda,City of Kigali,Kicukiro,Gikondo,RwandaCity of KigaliKicukiroGikondo,404
Rwanda,City of Kigali,Kicukiro,Kagarama,RwandaCity of KigaliKicukiroKagarama,405
Rwanda,City of Kigali,Kicukiro,Kanombe,RwandaCity of KigaliKicukiroKanombe,406
Rwanda,City of Kigali,Kicukiro,Kicukiro,RwandaCity of KigaliKicukiroKicukiro,407
Rwanda,City of Kigali,Kicukiro,Kigarama,RwandaCity of KigaliKicukiroKigarama,408
Rwanda,City of Kigali,Kicukiro,Masaka,RwandaCity of KigaliKicukiroMasaka,409
Rwanda,City of Kigali,Kicukiro,Niboye,RwandaCity of KigaliKicukiroNiboye,410
Rwanda,City of Kigali,Kicukiro,Nyarugunga,RwandaCity of KigaliKicukiroNyarugunga,411
Rwanda,City of Kigali,Nyarugenge,Gitega,RwandaCity of KigaliNyarugengeGitega,412
Rwanda,City of Kigali,Nyarugenge,Kanyinya,RwandaCity of KigaliNyarugengeKanyinya,413
Rwanda,City of Kigali,Nyarugenge,Kigali,RwandaCity of KigaliNyarugengeKigali,414
Rwanda,City of Kigali,Nyarugenge,Kimisagara,RwandaCity of KigaliNyarugengeKimisagara,415
Rwanda,City of Kigali,Nyarugenge,Mageregere,RwandaCity of KigaliNyarugengeMageregere,416
Rwanda,City of Kigali,Nyarugenge,Muhima,RwandaCity of KigaliNyarugengeMuhima,417
Rwanda,City of Kigali,Nyarugenge,Nyakabanda,RwandaCity of KigaliNyarugengeNyakabanda,418
Rwanda,City of Kigali,Nyarugenge,Nyamirambo,RwandaCity of KigaliNyarugengeNyamirambo,419
Rwanda,City of Kigali,Nyarugenge,Nyarugenge,RwandaCity of KigaliNyarugengeNyarugenge,420
Rwanda,City of Kigali,Nyarugenge,Rwezamenyo,RwandaCity of KigaliNyarugengeRwezamenyo,421