macro_taxonomy,height_class,height_proportion
CR+PC/LWAL,H:1,0.45
CR+PC/LWAL,H:2,0.45
CR+PC/LWAL,HBET:3-6,0.1
CR/LFINF,H:1,0.1
CR/LFINF,H:2,0.35
CR/LFINF,H:3,0.35
CR/LFINF,HBET:4-7,0.15
CR/LFINF,HBET:8+,0.05
CR/LWAL,H:1,0.1
CR/LWAL,H:2,0.35
CR/LWAL,H:3,0.35
CR/LWAL,HBET:4-7,0.15
CR/LWAL,HBET:8+,0.05
E+ETO/LWAL,H:1,1
EWV/LN,H:1,1
MATO,H:1,1
MCF+CB/LWAL,H:1,0.45
MCF+CB/LWAL,H:2,0.45
MCF+CB/LWAL,HBET:3-6,0.1
MCF+CF/LWAL,H:1,0.45
MCF+CF/LWAL,H:2,0.45
MCF+CF/LWAL,HBET:3-6,0.1
MCF+CL/LWAL,H:1,0.45
MCF+CL/LWAL,H:2,0.45
MCF+CL/LWAL,HBET:3-6,0.1
MCF/LWAL,H:1,0.45
MCF/LWAL,H:2,0.45
MCF/LWAL,HBET:3-6,0.1
ME+MEO/LWAL,H:1,1
MUR+ADO+MOC/LWAL,H:1,0.475
MUR+ADO+MOC/LWAL,H:2,0.475
MUR+ADO+MOC/LWAL,HBET:3-6,0.05
MUR+ADO+MOM/LWAL,H:1,0.475
MUR+ADO+MOM/LWAL,H:2,0.475
MUR+ADO+MOM/LWAL,HBET:3-6,0.05
MUR+ADO/LWAL,H:1,0.475
MUR+ADO/LWAL,H:2,0.475
MUR+ADO/LWAL,HBET:3-6,0.05
MUR+CB/LWAL,H:1,0.475
MUR+CB/LWAL,H:2,0.475
MUR+CB/LWAL,HBET:3-6,0.05
MUR+CL+MOC/LWAL,H:1,0.475
MUR+CL+MOC/LWAL,H:2,0.475
MUR+CL+MOC/LWAL,HBET:3-6,0.05
MUR+CL/LWAL,H:1,0.475
MUR+CL/LWAL,H:2,0.475
MUR+CL/LWAL,HBET:3-6,0.05
MUR+CLBLH/LWAL,H:1,0.475
MUR+CLBLH/LWAL,H:2,0.475
MUR+CLBLH/LWAL,HBET:3-6,0.05
MUR+MO/LWAL,H:1,0.475
MUR+MO/LWAL,H:2,0.475
MUR+MO/LWAL,HBET:3-6,0.05
MUR+STDRE+MOC/LWAL,H:1,0.475
MUR+STDRE+MOC/LWAL,H:2,0.475
MUR+STDRE+MOC/LWAL,HBET:3-6,0.05
MUR+STDRE+MOL/LWAL,H:1,0.475
MUR+STDRE+MOL/LWAL,H:2,0.475
MUR+STDRE+MOL/LWAL,HBET:3-6,0.05
MUR+STDRE+MOM/LWAL,H:1,0.475
MUR+STDRE+MOM/LWAL,H:2,0.475
MUR+STDRE+MOM/LWAL,HBET:3-6,0.05
MUR+STDRE/LWAL,H:1,0.475
MUR+STDRE/LWAL,H:2,0.475
MUR+STDRE/LWAL,HBET:3-6,0.05
MUR+STRUB+MOC/LWAL,H:1,0.475
MUR+STRUB+MOC/LWAL,H:2,0.475
MUR+STRUB+MOC/LWAL,HBET:3-6,0.05
MUR+STRUB+MOL/LWAL,H:1,0.475
MUR+STRUB+MOL/LWAL,H:2,0.475
MUR+STRUB+MOL/LWAL,HBET:3-6,0.05
MUR+STRUB+MOM/LWAL,H:1,0.475
MUR+STRUB+MOM/LWAL,H:2,0.475
MUR+STRUB+MOM/LWAL,HBET:3-6,0.05
MUR+STRUB/LWAL,H:1,0.475
MUR+STRUB/LWAL,H:2,0.475
MUR+STRUB/LWAL,HBET:3-6,0.05
W+WBB/LN,H:1,1
W+WLI/LWAL,H:1,0.75
W+WLI/LWAL,H:2,0.25
W+WWD/LWAL,H:1,0.7
W+WWD/LWAL,H:2,0.3
W/LWAL,H:1,0.4
W/LWAL,H:2,0.4
W/LWAL,H:3,0.2